sample_id,direct_correct,jfs_correct,mpfsplus_correct,paired_category,observed_mpfsplus_failure_stage,observed_mpfsplus_failure_reason,hypothesized_baseline_advantage,baseline_advantage_requires_manual_audit
final_vaccine_042,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,TARGET_MISSING_COLUMN,,1
final_vaccine_043,1,1,1,ALL_CORRECT,,,,0
final_vaccine_044,0,1,1,MP_CORRECT_DIRECT_WRONG,,,,0
final_vaccine_045,1,0,0,DIRECT_CORRECT_MP_WRONG,state_mismatch,STATE_WRONG_VALUE,,1
final_vaccine_046,0,1,0,J_CORRECT_MP_WRONG,verification,TARGET_MISSING_COLUMN,,1
final_vaccine_047,1,0,0,DIRECT_CORRECT_MP_WRONG,parse,GEN_UNPARSEABLE_OUTPUT,,1
final_vaccine_048,0,1,0,J_CORRECT_MP_WRONG,materialization,VALUE_NORMALIZATION_ERROR,,1
final_vaccine_049,1,1,1,ALL_CORRECT,,,,0
final_vaccine_050,1,0,0,DIRECT_CORRECT_MP_WRONG,preflight,PREFLIGHT_UNIQUE,,1
final_vaccine_051,1,1,0,DIRECT_J_CORRECT_MP_WRONG,preflight,PREFLIGHT_UNIQUE,,1
final_vaccine_052,1,1,1,ALL_CORRECT,,,,0
final_vaccine_053,1,1,1,ALL_CORRECT,,,,0
final_vaccine_054,1,0,1,MP_CORRECT_J_WRONG,,,,0
final_vaccine_055,1,1,1,ALL_CORRECT,,,,0
final_vaccine_056,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_vaccine_057,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,CONFLICT_MISSING,,1
final_vaccine_058,1,1,1,ALL_CORRECT,,,,0
final_vaccine_059,1,1,1,ALL_CORRECT,,,,0
final_vaccine_060,1,1,0,DIRECT_J_CORRECT_MP_WRONG,state_mismatch,STATE_WRONG_VALUE,,1
final_virtual_001,1,1,1,ALL_CORRECT,,,,0
final_virtual_002,0,0,0,ALL_WRONG,,,,0
final_virtual_003,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_WRONG_EVIDENCE_SPAN,,1
final_virtual_004,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_virtual_005,0,1,0,J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_virtual_006,1,1,1,ALL_CORRECT,,,,0
final_virtual_007,1,1,1,ALL_CORRECT,,,,0
final_virtual_008,1,1,1,ALL_CORRECT,,,,0
final_virtual_009,1,1,1,ALL_CORRECT,,,,0
final_virtual_010,1,1,0,DIRECT_J_CORRECT_MP_WRONG,state_mismatch,STATE_EXTRA_ROW,,1
final_virtual_011,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_virtual_012,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_virtual_013,1,1,1,ALL_CORRECT,,,,0
final_virtual_014,1,1,1,ALL_CORRECT,,,,0
final_virtual_015,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_virtual_016,0,0,0,ALL_WRONG,,,,0
final_virtual_017,0,0,0,ALL_WRONG,,,,0
final_virtual_018,1,1,1,ALL_CORRECT,,,,0
final_virtual_019,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_virtual_020,1,1,1,ALL_CORRECT,,,,0
final_virtual_021,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_virtual_022,1,1,1,ALL_CORRECT,,,,0
final_virtual_023,1,1,1,ALL_CORRECT,,,,0
final_virtual_024,1,1,1,ALL_CORRECT,,,,0
final_virtual_025,1,1,0,DIRECT_J_CORRECT_MP_WRONG,state_mismatch,STATE_MISSING_ROW,,1
final_virtual_026,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_virtual_027,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_virtual_028,1,1,1,ALL_CORRECT,,,,0
final_virtual_029,1,1,1,ALL_CORRECT,,,,0
final_virtual_030,1,1,0,DIRECT_J_CORRECT_MP_WRONG,state_mismatch,STATE_WRONG_VALUE,,1
final_virtual_031,0,0,0,ALL_WRONG,,,,0
final_virtual_032,1,1,1,ALL_CORRECT,,,,0
final_virtual_033,0,1,0,J_CORRECT_MP_WRONG,parse,GEN_UNPARSEABLE_OUTPUT,,1
final_virtual_034,1,1,1,ALL_CORRECT,,,,0
final_virtual_035,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
