sample_id,first_failure_stage,failure_reason_code,oracle_variant,oracle_if_bypassed_correct,system_bypass_recoverable,causal_interpretation,abstention_reason
final_polar_001,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_002,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_003,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_016,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_017,verification,CONFLICT_WRONG_UPDATE_COLUMNS,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_polar_023,preflight,PREFLIGHT_UNIQUE,V2_5_plus_semantic_risk_gate,0,0,STAGE_PAIRED_ABLATION,preflight_reject
final_polar_025,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_026,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_027,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_polar_031,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_033,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_polar_040,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_041,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_polar_042,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_044,preflight,PREFLIGHT_UNIQUE,V2_5_plus_semantic_risk_gate,0,0,STAGE_PAIRED_ABLATION,preflight_reject
final_polar_047,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_055,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_056,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_polar_057,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_002,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_robot_003,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_robot_005,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_robot_010,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_011,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_012,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_014,preflight,PREFLIGHT_UNIQUE,V2_5_plus_semantic_risk_gate,0,0,STAGE_PAIRED_ABLATION,preflight_reject
final_robot_016,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_017,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_018,materialization,VALUE_WRONG_EVIDENCE_SPAN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_019,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_robot_020,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_021,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_025,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_027,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_031,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_033,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_034,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_robot_035,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_robot_036,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_robot_040,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
