sample_id,source_group,legacy_payload_hash,D_payload_hash,changed
aug_seed_000293_relational_format_variant_001,seed_000293,8747fa55023db5acf64c201e02413ae3628ee4728cbe63f9fb7e23bd27b19145,8747fa55023db5acf64c201e02413ae3628ee4728cbe63f9fb7e23bd27b19145,0
seed_000325,seed_000325,dad118f5e8cfbb4e7cf03cce1472d1265c137093f98ea28fc2b733d742f1be0e,dad118f5e8cfbb4e7cf03cce1472d1265c137093f98ea28fc2b733d742f1be0e,0
aug_seed_000301_single_row_subset_001,seed_000301,8935f306e18df2ee9ce50bd19cb2eff08d34c1fcfe0db09e4ccfd25f7e8194f9,8935f306e18df2ee9ce50bd19cb2eff08d34c1fcfe0db09e4ccfd25f7e8194f9,0
aug_seed_000356_single_row_subset_001,seed_000356,aeaa1924b8457c08e639fa4f4edfd2b60ee31b9cdc6ffda21aaa906b61aa1701,aeaa1924b8457c08e639fa4f4edfd2b60ee31b9cdc6ffda21aaa906b61aa1701,0
seed_000121,seed_000121,3dffa1d5aca0a9fde728d1d953d599ce7bad706497285996b6016242ee246fc2,3dffa1d5aca0a9fde728d1d953d599ce7bad706497285996b6016242ee246fc2,0
seed_000217,seed_000217,1ad4c34f95ae1bfd6ef82c66df2885db4233e74e77c1deb0bf0f8309ee66e582,1ad4c34f95ae1bfd6ef82c66df2885db4233e74e77c1deb0bf0f8309ee66e582,0
aug_seed_000061_single_row_subset_002,seed_000061,0d88858cc4c610ed6c4cbd50c0d4dabe08b58b4a9ed60d3872d44b4abc33d8bf,0d88858cc4c610ed6c4cbd50c0d4dabe08b58b4a9ed60d3872d44b4abc33d8bf,0
seed_000052,seed_000052,22a4fb69d7090872166f4596703dce8c466af4a7be0bcc8d9ffbd11ee605c1c0,22a4fb69d7090872166f4596703dce8c466af4a7be0bcc8d9ffbd11ee605c1c0,0
aug_seed_000179_single_row_subset_001,seed_000179,9d75c729c776cdf53c30970e1680055c894a5d439bb0f13dd8d780b305b546c8,9d75c729c776cdf53c30970e1680055c894a5d439bb0f13dd8d780b305b546c8,0
seed_000088,seed_000088,a21d78159a5306e223b4b1c420c6bc31ddf1e9430df1152d8b57cd87da57243d,a21d78159a5306e223b4b1c420c6bc31ddf1e9430df1152d8b57cd87da57243d,0
aug_seed_000351_relational_format_variant_001,seed_000351,ba4a867fb73f787e4c7a1d604eba449010ebe87b117e3816e86dc2550e7e0d64,ba4a867fb73f787e4c7a1d604eba449010ebe87b117e3816e86dc2550e7e0d64,0
aug_seed_000013_small_batch_subset_001,seed_000013,30e19323484971a5656930c08fa19bd01ef583b777c12e979869064d1937c856,30e19323484971a5656930c08fa19bd01ef583b777c12e979869064d1937c856,0
seed_000335,seed_000335,d103aa34b31241121d28eb86c1ac6509df2ace61c2e06e1f5ea1e8b6c56b9a33,d103aa34b31241121d28eb86c1ac6509df2ace61c2e06e1f5ea1e8b6c56b9a33,0
aug_seed_000080_single_row_subset_002,seed_000080,680763a34d47acaa2e38fbdea646f30b1e69439bbc333596fa8e78d8150806fa,680763a34d47acaa2e38fbdea646f30b1e69439bbc333596fa8e78d8150806fa,0
aug_seed_000235_single_row_subset_001,seed_000235,6ace734b3df20267c16c6bb5764c6fdeb2877f57065cb5e1d3249feef8e47f7c,6ace734b3df20267c16c6bb5764c6fdeb2877f57065cb5e1d3249feef8e47f7c,0
aug_seed_000019_single_row_subset_002,seed_000019,a3a9672eec9a0655714fcd09832bbb8efaec8ada61d27283ce45eb3246fd3ff7,a3a9672eec9a0655714fcd09832bbb8efaec8ada61d27283ce45eb3246fd3ff7,0
seed_000174,seed_000174,cf5bdd538882cfa7d4685bf8e499ca5cf86e76f9f88424b05512ad79a1ee8628,cf5bdd538882cfa7d4685bf8e499ca5cf86e76f9f88424b05512ad79a1ee8628,0
aug_seed_000280_single_row_subset_001,seed_000280,b7b477b7565e0e54c3e57aa083aa49c7f88f1dc17bf121f1dcf33af3260a1111,b7b477b7565e0e54c3e57aa083aa49c7f88f1dc17bf121f1dcf33af3260a1111,0
seed_000067,seed_000067,f407470d081e55707192bccfb548cfe9f46d55c352b59fca2b4ea37ed02b7dfc,f407470d081e55707192bccfb548cfe9f46d55c352b59fca2b4ea37ed02b7dfc,0
